,ID,subject,subject_clean,Len
0,1,'great item',great item,2
1,1,'worth every penny',worth every penny,3
2,1,'see comment',see comment,2
3,1, 'skeptical',skeptical,1
4,1, 'loud',loud,1
5,1, 'fan',fan,1
6,1,'barely hear',barely hear,2
7,1, 'volume',volume,1
8,1, 'low',low,1
9,1, 'actually',actually,1
10,1,'amaze job',amaze job,2
11,1, 'projector',projector,1
12,1, 'cool',cool,1
13,1,'every time',every time,2
14,1, '3 hour',3 hour,2
15,1, 'run',run,1
16,1, 'cool',cool,1
17,1, 'capsule',capsule,1
18,1,'highly recommend',highly recommend,2
19,1,'stucco exterior wall',stucco exterior wall,3
20,1, 'look amaze',look amaze,2
21,1, 'picture',picture,1
22,1, 'image',image,1
23,2,'wife',wife,1
24,2, 'bought',bought,1
25,2, 'birthday',birthday,1
26,2,'cast upon',cast upon,2
27,2, 'want',want,1
28,2, 'projector',projector,1
29,2, 'ceiling',ceiling,1
30,2, 'bedroom',bedroom,1
31,2,'get',get,1
32,2,'different mini projector',different mini projector,3
33,2, 'research',research,1
34,2, 'lot',lot,1
35,2, 'look',look,1
36,2,'nothing even come close',nothing even come close,4
37,2, 'thing portrayed',thing portrayed,2
38,2, 'awesomeness',awesomeness,1
39,2,'run',run,1
40,2, 'hooked',hooked,1
41,2, 'get',get,1
42,2, 'arrive',arrive,1
44,2,'werent disappointed',werent disappointed,2
45,2," 'slightest """"'",slightest,1
46,2,'best projection surface',best projection surface,3
47,2, 'tripod stand',tripod stand,2
48,2, 'textured ceiling',textured ceiling,2
49,2, 'ceiling isnt',ceiling isnt,2
50,2, 'want',want,1
51,2, 'purchase',purchase,1
52,2, 'exactly',exactly,1
54,2,"'work great """"'",work great,2
55,2,'whole dang thing',whole dang thing,3
56,2, 'since move',since move,2
57,2, 'project across',project across,2
58,2, 'wall',wall,1
59,2, 'take',take,1
60,2, 'boy',boy,1
61,2,'course',course,1
63,2,'youre not go',youre not go,3
64,2, 'get 1080p quality',get 1080p quality,3
65,2, 'get',get,1
66,2, 'small',small,1
67,2, 'device',device,1
68,2, 'compact',compact,1
69,2,"'watchable """"'",watchable,1
70,2,'quickly instal plex',quickly instal plex,3
71,2, 'netflix',netflix,1
72,2,'remote control app',remote control app,3
73,2, 'phone',phone,1
74,2, 'add',add,1
75,2,'watch show',watch show,2
76,2, 'time flat',time flat,2
77,2, 'bad boy',bad boy,2
78,2, 'control',control,1
79,2,'super convenient',super convenient,2
80,2, 'house',house,1
81,2, 'fact',fact,1
82,2, 'device',device,1
83,2, 'apps',apps,1
84,2,"'different setting camp anyone """"'",different setting camp anyone,4
85,2, 'thoroughly impressed',thoroughly impressed,2
86,2, 'nebula capsule',nebula capsule,2
87,2, 'look forward',look forward,2
88,2, '`` ive',ive,1
89,2, 'try',try,1
90,2,'projector offering',projector offering,2
91,2, 'want',want,1
92,2, 'see',see,1
93,2, 'make',make,1
94,2, 'difference',difference,1
95,2, 'check',check,1
96,2, 'ankers',ankers,1
99,2,'`` well',well,1
100,2,'anker',anker,1
101,2,'hopefully',hopefully,1
102,2,'youll keep improve',youll keep improve,3
103,2," 'awesome product """"'",awesome product,2
104,2, 'put',put,1
105,2,'extremely well built',extremely well built,3
106,2, 'doesnt feel cheap',doesnt feel cheap,3
107,2, 'come package wonderfully',come package wonderfully,3
108,2, 'get go',get go,2
109,2, 'size',size,1
110,2, 'setup',setup,1
111,2, 'pros',pros,1
